SATZART;AGS;LAND;RB;KREIS;BEV;ERWERBST;ERWERBSL;NERWERB;ERW18;ERW18_29;ERW30_49;ERW50_64;ERW65;ERWOAUS;ERWBERUF;ERWHOCH
10;15;Sachsen-Anhalt;Gesamt;Gesamt;2267600;1092210;101010;1074390;5710;200540;509090;348630;28230;110470;793480;188260
40;15001;Sachsen-Anhalt;Gesamt;Dessau-Roßlau, Stadt;85590;39350;4790;41460;/;6840;17630;13440;1130;3910;27430;8000
40;15002;Sachsen-Anhalt;Gesamt;Halle (Saale), Stadt;227670;100220;10210;117250;/;23890;46300;27640;2100;15190;59680;25340
40;15003;Sachsen-Anhalt;Gesamt;Magdeburg, Landeshauptstadt;226780;111840;9730;105210;/;24160;52490;30720;3910;12310;70910;28620
40;15081;Sachsen-Anhalt;Gesamt;Altmarkkreis Salzwedel;87180;44370;2750;40070;260;7790;20370;14400;1550;4630;33890;5840
40;15082;Sachsen-Anhalt;Gesamt;Anhalt-Bitterfeld;170670;82270;8000;80400;550;15340;38000;25900;2480;8370;61990;11910
40;15083;Sachsen-Anhalt;Gesamt;Börde;174870;92810;5410;76660;/;15010;45310;30000;2240;8210;70530;14060
40;15084;Sachsen-Anhalt;Gesamt;Burgenlandkreis;188120;89050;10410;88660;/;16290;40310;29650;2350;6960;69370;12720
40;15085;Sachsen-Anhalt;Gesamt;Harz;223870;108130;8910;106830;690;18360;49970;36480;2630;10030;80700;17400
40;15086;Sachsen-Anhalt;Gesamt;Jerichower Land;92820;46590;3510;42720;/;7890;21340;16090;1140;4190;34830;7570
40;15087;Sachsen-Anhalt;Gesamt;Mansfeld-Südharz;146820;64920;7400;74500;340;10620;30200;21900;1860;6640;48570;9710
40;15088;Sachsen-Anhalt;Gesamt;Saalekreis;190220;96640;8150;85430;520;16190;45610;31800;2520;8430;71120;17090
40;15089;Sachsen-Anhalt;Gesamt;Salzlandkreis;203400;96070;10390;96930;780;17050;46320;29850;2070;9900;73000;13170
40;15090;Sachsen-Anhalt;Gesamt;Stendal;117530;55380;5230;56910;/;9360;26010;18970;770;5770;41180;8420
40;15091;Sachsen-Anhalt;Gesamt;Wittenberg;132050;64580;6100;61370;290;11770;29220;21800;1500;5930;50260;8390
10;16;Thüringen;Gesamt;Gesamt;2173030;1118840;72190;982000;6340;211320;509670;356760;34760;106720;812990;199140
40;16051;Thüringen;Gesamt;Erfurt, Stadt;199750;103200;8170;88380;/;24030;45490;29360;3810;11600;62790;28810
40;16052;Thüringen;Gesamt;Gera, Stadt;94880;47360;3700;43820;/;8610;21070;15890;1590;4520;33720;9120
40;16053;Thüringen;Gesamt;Jena, Stadt;105370;53870;3240;48270;/;14480;23590;14470;1250;7290;26670;19910
40;16054;Thüringen;Gesamt;Suhl, Stadt;36810;19340;910;16560;/;3080;8360;7040;680;1500;14020;3830
40;16055;Thüringen;Gesamt;Weimar, Stadt;62430;31160;2220;29050;/;7070;13910;8930;1090;3970;17620;9570
40;16056;Thüringen;Gesamt;Eisenach, Stadt;41250;21330;1380;18530;/;4010;9190;7170;840;2280;15410;3630
40;16061;Thüringen;Gesamt;Eichsfeld;101530;54320;2840;44380;450;11500;25040;16370;960;4610;43110;6600
40;16062;Thüringen;Gesamt;Nordhausen;86580;41730;3130;41720;/;7810;19180;13410;1220;3850;31670;6210
40;16063;Thüringen;Gesamt;Wartburgkreis;127990;68180;3100;56720;/;12870;31990;20660;2160;5770;54590;7820
40;16064;Thüringen;Gesamt;Unstrut-Hainich-Kreis;105200;53750;5080;46380;410;10010;25380;16560;1380;5320;40930;7500
40;16065;Thüringen;Gesamt;Kyffhäuserkreis;79540;37390;3780;38380;/;7040;17600;11850;710;3500;28840;5040
40;16066;Thüringen;Gesamt;Schmalkalden-Meiningen;126520;67290;3640;55590;470;11820;29910;21950;3140;6610;50330;10350
40;16067;Thüringen;Gesamt;Gotha;135010;71100;4290;59630;/;13490;33420;22110;1760;6220;54340;10540
40;16068;Thüringen;Gesamt;Sömmerda;71420;36810;3100;31510;/;6380;17460;11750;990;4420;26790;5610
40;16069;Thüringen;Gesamt;Hildburghausen;65690;36360;1460;27880;/;6980;16500;11860;790;3200;28200;4950
40;16070;Thüringen;Gesamt;Ilm-Kreis;109850;54800;3520;51520;/;9180;25140;18440;1620;4690;39710;10410
40;16071;Thüringen;Gesamt;Weimarer Land;82090;42730;2510;36860;/;7290;20010;14280;1000;3200;32320;7210
40;16072;Thüringen;Gesamt;Sonneberg;58610;31920;1070;25620;/;5070;14330;11090;1330;2790;24580;4550
40;16073;Thüringen;Gesamt;Saalfeld-Rudolstadt;112390;58100;3390;50900;/;9980;25860;19770;2160;4800;44490;8800
40;16074;Thüringen;Gesamt;Saale-Holzland-Kreis;84320;44460;2460;37400;/;7180;20380;15340;1260;3570;32470;8430
40;16075;Thüringen;Gesamt;Saale-Orla-Kreis;84930;45370;1930;37630;/;7920;19800;15650;1680;4520;34900;5940
40;16076;Thüringen;Gesamt;Greiz;104510;53610;3070;47830;/;7990;25420;18090;1800;4470;41270;7880
40;16077;Thüringen;Gesamt;Altenburger Land;96340;44660;4210;47470;/;7520;20640;14710;1530;4020;34210;6430
