SATZART;AGS;LAND;RB;KREIS;BEV;ERWERBST;ERWERBSL;NERWERB;ERW18;ERW18_29;ERW30_49;ERW50_64;ERW65;ERWOAUS;ERWBERUF;ERWHOCH
40;09377;Bayern;Oberpfalz;Tirschenreuth;74640;37990;1160;35490;/;7540;17690;10800;1210;6660;28420;2920
20;094;Bayern;Oberfranken;Gesamt;1056800;540430;21780;494590;8070;102830;254560;157520;17450;97360;370260;72800
40;09461;Bayern;Oberfranken;Bamberg, Stadt;70300;34780;1680;33830;/;7570;16620;8870;1410;7130;18260;9390
40;09462;Bayern;Oberfranken;Bayreuth, Stadt;69110;32250;1960;34910;/;7540;14280;9170;1060;7470;17110;7670
40;09463;Bayern;Oberfranken;Coburg, Stadt;40810;20040;1280;19490;/;4240;8740;5850;980;3780;12240;4020
40;09464;Bayern;Oberfranken;Hof, Stadt;44220;19370;1470;23380;/;3320;8990;6190;700;3660;13100;2610
40;09471;Bayern;Oberfranken;Bamberg;143080;80270;1960;60850;1820;15450;39240;21210;2560;13930;58160;8180
40;09472;Bayern;Oberfranken;Bayreuth;105270;56020;1820;47430;900;10140;27000;16140;1840;8790;41300;5930
40;09473;Bayern;Oberfranken;Coburg;87690;45840;1860;40000;710;8270;21620;14030;1210;9610;31840;4390
40;09474;Bayern;Oberfranken;Forchheim;112450;59270;1810;51360;1100;12180;26770;17400;1830;9600;39170;10500
40;09475;Bayern;Oberfranken;Hof;98740;48760;2040;47940;/;8850;22720;15330;1270;6480;37290;5000
40;09476;Bayern;Oberfranken;Kronach;69760;35280;1160;33310;/;5940;17360;10260;1240;8390;23880;3010
40;09477;Bayern;Oberfranken;Kulmbach;73110;37710;1510;33880;/;6550;18120;11440;1060;5280;27740;4690
40;09478;Bayern;Oberfranken;Lichtenfels;66420;34730;1420;30270;630;6500;16300;10080;1230;6690;24710;3340
40;09479;Bayern;Oberfranken;Wunsiedel i.Fichtelgebirge;75860;36110;1810;37930;/;6280;16790;11560;1060;6550;25480;4070
20;095;Bayern;Mittelfranken;Gesamt;1669830;867660;35020;767150;11830;171160;420730;235970;27980;157720;547230;162700
40;09561;Bayern;Mittelfranken;Ansbach, Stadt;39030;20390;930;17710;/;4230;9170;6230;530;3760;13380;3260
40;09562;Bayern;Mittelfranken;Erlangen, Stadt;103100;51870;2140;49090;/;10810;25600;13140;1860;9830;25340;16700
40;09563;Bayern;Mittelfranken;Fürth, Stadt;114910;60400;3530;50980;830;11670;31830;14730;1330;13220;34980;12200
40;09564;Bayern;Mittelfranken;Nürnberg, Stadt;482440;239160;14400;228890;2500;52150;117560;59540;7400;49300;131170;58690
40;09565;Bayern;Mittelfranken;Schwabach, Stadt;38350;19940;780;17630;/;3900;9940;5180;730;3590;12830;3520
40;09571;Bayern;Mittelfranken;Ansbach;177070;93830;2850;80390;1570;18360;44760;25950;3200;16880;67650;9300
40;09572;Bayern;Mittelfranken;Erlangen-Höchstadt;129600;69480;1530;58590;930;12220;33520;20550;2270;10450;43850;15180
40;09573;Bayern;Mittelfranken;Fürth;112450;61020;1920;49510;1100;10090;29880;17370;2580;10080;41070;9880
40;09574;Bayern;Mittelfranken;Nürnberger Land;162790;84970;2280;75540;1220;15460;40930;24560;2790;12910;57500;14550
40;09575;Bayern;Mittelfranken;Neustadt a.d.Aisch-Bad Windsheim;96960;52660;1800;42500;730;10270;24100;15520;2050;9480;36950;6230
40;09576;Bayern;Mittelfranken;Roth;122220;65660;1380;55180;1140;12410;31810;18470;1840;9600;47960;8100
40;09577;Bayern;Mittelfranken;Weißenburg-Gunzenhausen;90900;48270;1480;41150;940;9590;21640;14720;1380;8600;34560;5110
20;096;Bayern;Unterfranken;Gesamt;1290990;675890;22410;592700;11330;135640;312020;196790;20110;125670;459790;90430
40;09661;Bayern;Unterfranken;Aschaffenburg, Stadt;66760;34290;1560;30910;/;6590;16970;9030;1170;6590;21830;5870
40;09662;Bayern;Unterfranken;Schweinfurt, Stadt;51350;23910;1890;25550;/;4900;10510;7030;1150;5860;14790;3270
40;09663;Bayern;Unterfranken;Würzburg, Stadt;122540;59520;3170;59850;/;16290;25150;15250;2150;13710;29730;16080
40;09671;Bayern;Unterfranken;Aschaffenburg;172550;92450;2220;77880;1670;18010;42270;27180;3320;17260;62950;12240
40;09672;Bayern;Unterfranken;Bad Kissingen;102500;52290;1390;48810;1020;10210;24080;15530;1450;8410;38730;5150
40;09673;Bayern;Unterfranken;Rhön-Grabfeld;80010;41810;1340;36850;770;8110;19660;12400;860;6980;30670;4160
40;09674;Bayern;Unterfranken;Haßberge;84170;44970;1360;37840;750;9280;20840;13130;970;10000;31060;3910
40;09675;Bayern;Unterfranken;Kitzingen;86790;46020;1740;39030;920;9270;20580;13760;1490;8640;32540;4840
40;09676;Bayern;Unterfranken;Miltenberg;128000;67470;2270;58260;1090;12430;32960;19150;1840;12460;47760;7250
40;09677;Bayern;Unterfranken;Main-Spessart;126580;67200;1900;57490;1280;12850;30810;20160;2100;13090;47270;6830
40;09678;Bayern;Unterfranken;Schweinfurt;112170;60990;2030;49140;900;11720;27290;19420;1650;9690;44010;7290
40;09679;Bayern;Unterfranken;Würzburg;157580;84960;1540;71090;1390;15980;40870;24740;1970;12980;58450;13530
20;097;Bayern;Schwaben;Gesamt;1765540;932890;29450;803200;18030;187740;437730;251840;37560;164040;636110;132750
40;09761;Bayern;Schwaben;Augsburg, Stadt;265010;134330;7780;122910;1890;29960;61460;34030;6990;28250;77410;28670
40;09762;Bayern;Schwaben;Kaufbeuren, Stadt;40890;20620;1080;19190;410;4000;9440;6010;770;4250;13390;2990
40;09763;Bayern;Schwaben;Kempten (Allgäu), Stadt;63220;31250;1520;30440;/;7340;14210;8200;1260;6520;19740;4990
40;09764;Bayern;Schwaben;Memmingen, Stadt;40900;21050;770;19080;/;4120;9900;5770;910;4800;13330;2920
40;09771;Bayern;Schwaben;Aichach-Friedberg;125510;68770;1480;55270;1380;12920;33930;18040;2490;10060;48730;9980
40;09772;Bayern;Schwaben;Augsburg;236480;124860;3650;107980;2290;24410;59780;34230;4150;19300;86870;18690
40;09773;Bayern;Schwaben;Dillingen a.d.Donau;92350;50950;1400;40010;1140;11150;22720;14420;1510;9820;36480;4650
40;09774;Bayern;Schwaben;Günzburg;118210;62610;1510;54090;1250;12100;29930;17370;1950;12210;44220;6170
40;09775;Bayern;Schwaben;Neu-Ulm;163020;86440;2370;74200;1520;17940;41140;23540;2300;16430;57020;13000
40;09776;Bayern;Schwaben;Lindau (Bodensee);77780;40660;1050;36070;700;7140;19250;11550;2010;6830;27080;6750
40;09777;Bayern;Schwaben;Ostallgäu;133150;71580;1660;59920;1470;13760;33310;19290;3750;10350;52370;8860
