,mtknr,avg
809,3389,27.0
810,3393,20.0
811,3394,22.0
812,3401,50.0
813,3402,42.0
814,3406,37.0
815,3413,26.0
816,3414,23.0
817,3423,33.0
818,3433,50.0
819,3434,22.0
820,3437,29.0
821,3445,16.0
822,3446,20.0
823,3447,17.0
824,3448,20.0
825,3449,26.0
826,3450,29.0
827,3451,35.0
828,3452,48.0
829,3462,40.0
830,3463,41.0
831,3465,17.0
832,3466,25.0
833,3469,18.0
834,3474,12.0
835,3480,20.0
836,3483,19.0
837,3491,19.0
838,3501,22.0
839,3502,30.0
840,3515,23.0
841,3526,32.0
842,3527,31.0
843,3537,25.0
844,3546,29.0
845,3550,15.0
846,3551,33.0
847,3555,50.0
848,3559,27.0
849,3560,33.0
850,3565,29.0
851,3575,21.0
852,3580,26.0
853,3582,18.0
854,3584,43.0
855,3585,16.0
856,3592,36.0
857,3593,12.0
858,3596,25.0
859,3604,21.0
860,3620,15.0
861,3638,30.0
862,3645,32.0
863,3646,38.0
864,3653,14.0
865,3655,46.0
866,3659,22.0
867,3667,20.0
868,3670,33.0
869,3671,18.0
870,3674,34.0
871,3681,20.0
872,3687,21.0
873,3695,27.0
874,3704,35.0
875,3706,21.0
876,3710,26.0
877,3711,27.0
878,3720,44.0
879,3721,23.0
880,3731,44.0
881,3735,13.0
882,3737,41.0
883,3740,27.0
884,3742,23.0
885,3752,32.0
886,3756,40.0
887,3758,42.0
888,3759,26.0
889,3765,23.0
890,3772,25.0
891,3778,32.0
892,3784,25.0
893,3793,21.0
894,3795,31.0
895,3797,36.0
896,3799,21.0
897,3805,34.0
898,3806,17.0
899,3808,19.0
900,3816,20.0
901,3833,28.0
902,3834,43.0
903,3835,24.0
904,3836,42.0
905,3841,27.0
906,3846,19.0
907,3854,34.0
908,3863,22.0
909,3865,21.0
910,3871,24.0
911,3873,34.0
912,3874,25.0
913,3875,21.0
914,3884,22.0
915,3891,24.0
916,3894,22.0
917,3899,26.0
918,3908,40.0
919,3917,17.0
920,3925,22.0
921,3929,18.0
922,3932,35.0
923,3933,25.0
924,3936,19.0
925,3939,19.0
926,3940,16.0
927,3942,33.0
928,3944,18.0
929,3945,40.0
930,3952,19.0
931,3953,16.0
932,3955,23.0
933,3963,50.0
934,3968,30.0
935,3969,36.0
936,3973,43.0
937,3976,25.0
938,3985,25.0
